id,instrument,provision,what_it_says (short/paraphrased),url,retrieved,status
TBS-DMP-3.1,Directive on the Management of Procurement (TBS),3.1,Objective: procurement obtains needed assets and services while ensuring best value to the Crown.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-4.3.1,Directive on the Management of Procurement (TBS),4.3.1,Contracting authorities establish contracts on sound procurement principles - fairness / openness / transparency - to obtain best value.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-4.3.3,Directive on the Management of Procurement (TBS),4.3.3,Contracting authorities work with business owners so pricing strategies are considered in procurement planning and through the life cycle.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-4.10.1.1,Directive on the Management of Procurement (TBS),4.10.1.1,Contract file records include: description of the requirement; rationale for procurement-strategy options; identification of decision-makers.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-4.10.1.4,Directive on the Management of Procurement (TBS),4.10.1.4,Contract file records include justification for a non-competitive process under the Government Contracts Regulations (sole-source exception invoked; rationale; documentation).,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-4.10.1.5,Directive on the Management of Procurement (TBS),4.10.1.5,Contract file records include documentation of risk management strategies; financial assessments; ongoing price validations throughout the procurement.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-4.10.1.8,Directive on the Management of Procurement (TBS),4.10.1.8,Contract file records include justification for contracting with a former public servant incl. price substantiation and cost-control measures.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-6.3,Directive on the Management of Procurement (TBS),6.3,SCOPE: applies to departments listed in Schedules I / I.1 / II of the Financial Administration Act (CRA excepted) and designated Inquiries Act commissions. Crown corporations are not named.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-DMP-NOTE,Directive on the Management of Procurement (TBS),Note to reader,In effect since 2021-05-13; replaced the Contracting Policy. Amended several times through 2026-04-30. Page modified 2026-09-04.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32692,2026-09-21,verified-on-page
TBS-CPN-2007-4,Contracting Policy Notice 2007-4 (Non-Competitive Contracting),Annex A Question 6,"Requires explaining why the price is fair and reasonable for a non-competitive contract, tied to the ""only one person capable of performing the work"" exception; last amended 2019-06-10 for Government Contracts Regulations changes; page not rescinded. Belonged to the ""Contracting Policy"", replaced 2021-05-13 by the current Directive on the Management of Procurement, which does not use this phrase (see TBS-DMP-4.3.1 instead). Background only; not relied on as a citation requirement (OPEN-QUESTIONS.md #4).",https://www.canada.ca/en/treasury-board-secretariat/services/policy-notice/2007-4.html,2026-09-22,verified-on-page
TBS-SSC-J.2.4,"Directive on Security Management, Appendix J: Standard on Security Categorization (TBS)",J.2.4 (information confidentiality categories),Classified = Confidential / Secret / Top Secret (injury to the national interest). Protected A / B / C = injury outside the national interest; Protected B example includes loss of reputation or competitive advantage; Protected A example: an exact salary figure. In effect 2019-07-01.,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32614,2026-09-21,verified-on-page
TBS-GENAI-GUIDE,"Guide on the use of generative artificial intelligence (TBS) - guidance, not a directive",Protecting information / privacy (unnumbered bullets),Public servants must not input personal information into publicly available online generative AI tools. Do not enter sensitive or personal information into tools not managed by the GC. Seek the institutional chief security officer's approval before using generative AI for protected or other sensitive information. Applies to federal institutions; applicability to NCC unconfirmed.,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/guide-use-generative-ai.html,2026-09-21,verified-on-page
ASSUMPTION-CROWN-SECCAT,Planning assumption recorded by the maintainer (not a published source),n/a,Assumption for the worked example: a federal Crown corporation such as NCC applies the Treasury Board security categories (Protected A/B/C; Confidential/Secret/Top Secret). Not verified.,n/a,2026-09-21,assumption-not-verified
ASSUMPTION-PLANNING,Planning assumptions recorded by the maintainer (not a published source),n/a,For planning: Python and PowerShell are not available on the target computer; Power Automate is (SharePoint and Outlook connectors usable; Teams not used); Copilot is capable of and permitted to handle the documents. The Copilot approval level is NOT verified.,n/a,2026-09-21,assumption-not-verified
CANADABUYS-AWARD-DATA,CanadaBuys award notices open dataset (PSPC / Open Government Portal),dataset page and data dictionary,"CSV award notices, Open Government Licence - Canada, updated daily, 2012 to present, federal organizations incl. Crown corporations subject to trade agreements. Fields include contractAmount (incl. taxes), totalContractValue, supplier, procurementCategory (CNST), regionsOfDelivery, procurementMethod, selectionCriteria, UNSPSC/GSIN. No bids-received field.",https://open.canada.ca/data/en/dataset/a1acb126-9ce8-40a9-b889-5da2b1dd20cb,2026-09-21,verified-on-page
OGL-CANADA,Open Government Licence - Canada,licence text,"Permits copying, modifying, publishing, distributing and using the information for any lawful purpose incl. commercial, with attribution ('Contains information licensed under the Open Government Licence - Canada.'); excludes personal information, third-party rights and official marks; no implied endorsement; provided as is.",https://open.canada.ca/en/open-government-licence-canada,2026-09-21,verified-on-page
CANADABUYS-ROBOTS,canadabuys.canada.ca/robots.txt,whole file,Only bingbot and Googlebot are named (crawl-delay 5; tender-notice and award-notice paths disallowed for them); every other user-agent: Disallow /. Do not crawl the site; use the open-data files.,https://canadabuys.canada.ca/robots.txt,2026-09-21,verified-on-page
CANADABUYS-NOTICE-COPYRIGHT,CanadaBuys tender notice pages,notice footer,Tender/award notices carry the Open Government Licence - Canada; related solicitation documents and/or tender attachments are copyright protected.,https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-314-8830460,2026-09-21,verified-on-page
GC-TERMS,Government of Canada Terms and conditions,reproduction,Non-commercial reproduction allowed with attribution and source URL; commercial redistribution needs prior written permission; some content may be third-party copyright; no provision on scraping.,https://www.canada.ca/en/transparency/terms.html,2026-09-21,verified-on-page
FED-PROACTIVE-CONTRACTS,"Proactive Publication - Contracts (federal entities), open.canada.ca",dataset page + live datastore API,"Contracts over $10,000 and amendments; quarterly; Open Government Licence - Canada; unaudited, no warranty. Fields read from the API include original_value, amendment_value, contract_value, number_of_bids (populated in recent quarters), solicitation_procedure, commodity_type, vendor_name; no project-location field. Institution 'ncc-ccn' returned 0 records.",https://open.canada.ca/data/en/dataset/d8f85d91-7dec-4fd1-8055-483b77225d8b,2026-09-21,verified-on-page-and-api
CANADABUYS-CONTRACT-HISTORY,"CanadaBuys contract history (PSPC-awarded contracts), open.canada.ca",dataset page,"Contracts PSPC awarded for departments since 2009-01; monthly; Open Government Licence - Canada; CSV files (complete from 2023-06, legacy 2009-2023-05, fiscal-year files); records include amendments; some blank fields from multiple source systems; federal organizations only.",https://open.canada.ca/data/en/dataset/4fe645a1-ffcd-40c1-9385-2c771be956a4,2026-09-21,verified-on-page
STATCAN-BCPI,"Statistics Canada, Building construction price indexes by type of building and division (table 18-10-0289-01)",table id from search results,Quarterly building construction price indexes for 11 CMAs incl. Ottawa-Gatineau (Ontario part); base 2023=100; from 1981Q1; releases through 2026Q2. Older tables 18-10-0135-01 and 18-10-0276-01 are archived. Active table page and licence wording not read.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810028901,2026-09-21,partly-verified-search-results-and-archived-table-page
STATCAN-CUWR,"Statistics Canada, Construction union wage rates, monthly (table 18-10-0139-01)",table page,Monthly construction union wage rates by CMA from 1971-01 to 2026-06 (release 2026-07-17); CSV download. Which CMAs and trades are listed was not visible in the page text read. A companion index is table 18-10-0140-01.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810013901,2026-09-21,verified-on-page
JOBBANK-WAGES,"Employment and Social Development Canada, Wages (Job Bank), open.canada.ca",dataset page,"Minimum, median and maximum wage estimates by NOC occupation and region; annual CSV files 2012-2025; Open Government Licence - Canada.",https://open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116,2026-09-21,verified-on-page
OPSS-127,"Ontario Ministry of Transportation, OPSS.PROV 127 Schedule of Rental Rates for Construction Equipment",search results only,"Hourly equipment rental rates (175+ categories) for time-and-material payment on MTO contracts; public PDF, July 2025 edition. Reuse terms not read.",https://tcp.mto.gov.on.ca/notice/000-0259,2026-09-21,UNVERIFIED-search-result-only
FAIR-PRICE-CORPUS,fair-price-corpus (private companion repo of sanitized project-fact records),FORMAT.md and gates/publication-review.md,"JSON fact records; generic by default, but a record whose review.figures_approved is true carries an individually reviewed unit price with a coarse price_date and price_basis for one or more pay_items. Not the source documents themselves. Optional -- only usable when the repo is cloned locally beside this kit.",https://github.com/Andre-Comeau/fair-price-corpus,2026-09-22,internal-repo
STATCAN-IPPI,"Statistics Canada, Industrial product price index, by product, monthly (table 18-10-0266-01)",table page,"Monthly commodity-level price index (NAPCS Canada 2022), base 202001=100, from 1956-01 to 2026-08 (release 2026-09-17). Construction-relevant product groups: P41 (lumber and other wood products), P63 (fabricated metal products and construction materials), P81 (cement, glass and other non-metallic mineral products), P61/P62 (ferrous/non-ferrous metals). This is materials-cost movement, not a building or project price -- use it to inflation-adjust a prior comparable, not as a comparable itself. A companion table, the Raw Materials Price Index (18-10-0268-01), was referenced in StatCan release notes but not itself opened or verified.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810026601,2026-09-22,verified-on-page
